Date,MSCI_World,MSCI_EM
2010-06-03,1591.0618,27.2677
2010-06-04,1563.1134,26.2992
2010-06-07,1542.1517,25.8891
2010-06-08,1542.1517,26.4830
2010-06-09,1556.1266,26.3416
2010-06-10,1561.1171,27.2607
2010-06-11,1582.0782,27.4021
2010-06-14,1586.0709,27.4091
2010-06-15,1589.0653,28.2363
2010-06-16,1601.0430,28.2363
2010-06-17,1600.0452,28.0949
2010-06-18,1610.0270,28.2221
2010-06-21,1625.9968,28.7099
2010-06-22,1605.0358,28.1585
2010-06-23,1567.1061,28.2311
2010-06-24,1542.1517,27.7329
2010-06-25,1534.1666,28.0603
2010-06-28,1533.1688,27.8681
2010-06-29,1487.2533,26.7366
2010-06-30,1497.2344,26.5587
2010-07-01,1450.3217,26.7509
2010-07-02,1456.3104,26.8647
2010-07-06,1486.2555,27.3629
2010-07-07,1496.2368,27.9678
2010-07-08,1525.1831,28.1030
2010-07-09,1539.1571,28.4446
2010-07-12,1544.1488,28.2169
2010-07-13,1561.1171,28.5442
2010-07-14,1559.1208,28.4873
2010-07-15,1536.1627,28.3521
2010-07-16,1522.1891,27.5052
2010-07-19,1520.1925,27.8681
2010-07-20,1515.2018,28.5229
2010-07-21,1535.1648,28.2311
2010-07-22,1555.1276,29.0851
2010-07-23,1537.1614,29.2843
2010-07-26,1552.1335,29.4836
2010-07-27,1549.1387,29.4338
2010-07-28,1544.1488,29.2701
2010-07-29,1537.1614,29.3199
2010-07-30,1525.1831,29.4622
2010-08-02,1548.1412,30.2237
2010-08-03,1547.1426,30.0814
2010-08-04,1549.1387,30.1241
2010-08-05,1551.1357,29.9889
2010-08-06,1527.1796,29.9462
2010-08-09,1549.1387,30.1027
2010-08-10,1548.1412,29.6900
2010-08-11,1514.2034,28.7435
2010-08-12,1516.1997,28.7933
2010-08-13,1509.2131,28.9499
2010-08-16,1503.2236,29.2203
2010-08-17,1536.1627,29.5263
2010-08-18,1530.1738,29.5049
2010-08-19,1504.2217,29.2772
2010-08-20,1500.2296,29.1918
2010-08-23,1502.2257,28.9285
2010-08-24,1489.2494,28.5585
2010-08-25,1467.2896,28.3734
2010-08-26,1471.2828,28.1955
2010-08-27,1485.2568,28.8146
2010-08-31,1495.2386,28.5086
2010-09-01,1527.1796,29.5121
2010-09-02,1535.1648,29.5619
2010-09-03,1549.1387,29.9106
2010-09-07,1555.1276,29.4765
2010-09-08,1546.1445,29.7967
2010-09-09,1563.1134,29.9675
2010-09-10,1571.0981,30.0743
2010-09-13,1588.0676,30.7930
2010-09-14,1587.0687,30.7788
2010-09-15,1571.0981,30.8215
2010-09-16,1570.1005,30.6649
